;Прайс-лист;;;;;
;;;;;;
;"ТОВ ""КАРП ЗУМ УКРАЇНА""";;;;;
;;;;;;
;У валютах цін.;;;;;
;Ціни зазначені на 10.08.2016;;;;;
;;;;;;
;;;;;;
;Номенклатура.Родитель/ Номенклатура;Залишок;Номенклатура.Артикул ;Розничная ЕВРО;;
;;;;Ціна;Од.;
;Услуги<(00002)>;;;;;
;        Powder Dip, Fish-Meat e85 g (рыба-мясо);;CZ7767;3,19 EUR;шт;
;        Powder Dip, Mussel e85 g  (ракушка,мидия);;CZ7750;3,19 EUR;шт;
;        Powder Dip, Pineapple e85 g  (ананас);;CZ7798;3,19 EUR;шт;
;        Powder Dip, Sweet Corn e85 g (сладкая кукуруза);;CZ7774;3,19 EUR;шт;
;    980. Flexi Corn Mini & Midi (Плавающая резиновая кукуруза)<(00072)>;;;;;
;        Flexi Corn Midi, honey (средняя,мед);;CZ9652;1,20 EUR;шт;
;        Flexi Corn Midi, vanilla (средняя,ваниль);;CZ9683;1,20 EUR;шт;
;        Flexi Corn Mini, honey (мед);;CZ9614;1,20 EUR;шт;
;        Flexi Corn Mini, vanilla (ваниль);;CZ9645;1,20 EUR;шт;
;    981. Maggo Flex (Плавающие Резиновые Опарыши)<(01628)>;;;;;
;        Maggo Flex, natural (белый);85,000;CZ3073;0,79 EUR;шт;
;        Maggo Flex, red (красный);;CZ3066;0,79 EUR;шт;
;    Услуги<(00002)>;;;;;
;        Alu throwing stick 22mm (КОБРА - БОЙЛОВАЯ ЗАБРАСЫВАЮЩАЯ ТРУБКА);;CZ0796;8,78 EUR;шт;
;        Alu throwing stick 25mm (КОБРА - БОЙЛОВАЯ ЗАБРАСЫВАЮЩАЯ ТРУБКА);;CZ0802;10,43 EUR;шт;
;        Amino Dip, blood worm 100 ml (145g)  (личинка комара);;CZ5244;2,00 EUR;шт;
;        Amino Dip, GLM 100 ml (145g) (зеленогубая ракушка,мидия);;CZ5190;2,00 EUR;шт;
;        Amino Dip, scopex 100 ml (145g) (скопекс);;CZ5237;2,00 EUR;шт;
;        Amino Dip, spicy frankfurter sausage 100 ml (145g)  (Франкфуртская колбаса со специями);;CZ5220;2,00 EUR;шт;
;        Amino Dip, squid - octopus 100 ml (145g) (кальмар-осьминог);;CZ5206;1,59 EUR;шт;
;        Anti-tangle 58 mm (20 pcs) brown (ПРОТИВОЗАКРУЧИВАТЕЛЬ, КОРИЧНЕВЫЙ);;CZ1847;2,18 EUR;шт;
;        Anti-tangle 58 mm (20 pcs) green  (ПРОТИВОЗАКРУЧИВАТЕЛЬ, ЗЕЛЕНЫЙ);;CZ1854;2,18 EUR;шт;
;        Attractor Spray, Catfish 50 ml    (сом);10,000;CZ7668;1,43 EUR;шт;
;        Attractor Spray, Pike 50 ml    (щука);6,000;CZ7651;1,43 EUR;шт;
;        Bait bander   (Окольцовывать наживки);;CZ1199;1,43 EUR;шт;
;        Big Catch Boilies, 800g 18mm CSL  (кукурузные рыльца-ликер);;CZ7415;4,24 EUR;шт;
;        Big Catch Groundbaits, Big Carp-Red, 1 kg (для карпов, красная);;CZ3110;1,43 EUR;шт;
;        Big Catch Groundbaits, Crucian-Carp, 1 kg (карась, карп);;CZ8563;1,43 EUR;шт;
;        Big Catch Groundbaits, River-Cheese, 1 kg (проточная вода, сырный);;CZ3158;1,43 EUR;шт;
;        Big Catch Groundbaits, Strawberry-Fish, 1 kg (клубника-рыба);;CZ3127;1,43 EUR;шт;
;        Big Catch Groundbaits, Sweet Corn-Tigernuts,1 kg (кукуруза-тигровый орех);;CZ7217;1,43 EUR;шт;
;        Big Catch Groundbaits, Winter Fish, 1 kg  (холодная вода,зимняя рибалка);;CZ8570;1,43 EUR;шт;
;        Bivvy Table (56x31cm)  (Монтажний столик, Размер: 56х31см);;CZ0765;20,93 EUR;шт;
;        Bloody Halibut Hook Pellets, 12 mm, pre-drilled, 150g (кровь-палтус, пеллетс насадочный - перфорированный);;CZ4902;1,11 EUR;шт;
;        Bloody Halibut Hook Pellets, 16 mm, pre-drilled 150g  (кровь-палтус, пеллетс насадочный - перфорированный);;CZ4919;1,11 EUR;шт;
;        Boilies by Carp Zoom 16 mm, crab 800 g (рак);;CZ2571;3,19 EUR;шт;
;        Boilies by Carp Zoom 16 mm, honey 800 g (мед);;CZ4650;3,19 EUR;шт;
;        Boilies by Carp Zoom 16 mm, liver 800 g (печень);;CZ4597;3,19 EUR;шт;
;        Boilies by Carp Zoom 16 mm, mussel 800 g (мидии);;CZ4681;3,19 EUR;шт;
;        Boilies by Carp Zoom 16 mm, plum 800 g (слива);;CZ4610;3,19 EUR;шт;
;        Boilies by Carp Zoom 16 mm, scopex 800 g (скопекс);;CZ2601;3,19 EUR;шт;
;        Boilies by Carp Zoom 16 mm, sweet corn 800 g (сладкая кукруза);;CZ7309;3,19 EUR;шт;
;        Boilies by Carp Zoom 20 mm, crab 800 g  (рак);;CZ2625;3,19 EUR;шт;
;        Boilies by Carp Zoom 20 mm, fish 800 g  (рыба);;CZ4711;3,19 EUR;шт;
;        Boilies by Carp Zoom 20 mm, honey 800 g  (мед);;CZ4698;3,19 EUR;шт;
;        Boilies by Carp Zoom 20 mm, mussel 800 g  (мидии);;CZ4728;3,19 EUR;шт;
;        Boilies by Carp Zoom 20 mm, pineapple 800 g  (ананас);;CZ6064;3,19 EUR;шт;
